,Unnamed: 0,Material,Functional unit,Embodied Energy (MJ),Embodied Water (L),Embodied Greenhouse Gas Emissions (kgCO₂e),More information,embeddings,similarities
99,99,Aluminium angle extruded,kg,383,244,32.7,http://doi.org/10.26188/5da551b3248d5,"[-0.00594684  0.00497639 -0.0251597  ... -0.01342286  0.00203401
 -0.01557941]",0.767700746884461
100,100,Aluminium extruded powdercoated,kg,415,251,33.6,http://doi.org/10.26188/5da551b3248d5,"[-0.00844833 -0.00053091 -0.01502364 ... -0.03115527 -0.00080543
 -0.00985968]",0.7691120613851374
101,101,"Aluminium round tube - 25 mm dia., 3.2 mm thick",m,114,57.9,9.4,http://doi.org/10.26188/5da551b3248d5,"[-0.0090928  -0.0036557   0.00089871 ... -0.02074875 -0.00701664
 -0.01280937]",0.7447938724464449
102,102,"Aluminium round tube - 60 mm dia., 10 mm thick",m,871,442,71.5,http://doi.org/10.26188/5da551b3248d5,"[ 0.00222392 -0.00752761 -0.00683385 ... -0.01425124  0.00636702
 -0.00074968]",0.7444081090372793
103,103,"Aluminium round tube - 80 mm dia., 6 mm thick",m,705,357,57.8,http://doi.org/10.26188/5da551b3248d5,"[ 0.0084652  -0.00417746 -0.00161114 ... -0.01270753  0.00330986
 -0.00301796]",0.7450380574168833
104,104,"Aluminium square tube - 20 × 20 mm, 1.6 mm thick",m,59.7,30.3,4.9,http://doi.org/10.26188/5da551b3248d5,"[ 0.00670748 -0.01551026  0.00190684 ... -0.02428748 -0.00518073
 -0.01888316]",0.7481495528286388
105,105,"Aluminium square tube - 40 × 40 mm, 2 mm thick",m,152,76.8,12.4,http://doi.org/10.26188/5da551b3248d5,"[ 0.00389502 -0.01067618 -0.00725368 ... -0.01660172 -0.00495498
 -0.01452012]",0.7523287380858453
106,106,"Aluminium square tube - 100 × 100 mm, 3 mm thick",m,574,291,47.1,http://doi.org/10.26188/5da551b3248d5,"[ 0.0115516  -0.01325867 -0.00947232 ... -0.0242712  -0.00832999
 -0.0197019 ]",0.7509837912227814
107,107,Aluminium sheet,kg,295,160,26.7,http://doi.org/10.26188/5da551dec2e47,"[-0.00867165 -0.00288735 -0.01313537 ... -0.01927459 -0.01154941
 -0.00424629]",0.7804400410448243
108,108,Aluminium sheet - 1.6 mm,m²,1 280,693,116,http://doi.org/10.26188/5da551dec2e47,"[-0.00244843  0.0008016  -0.0037882  ... -0.023673   -0.00813881
 -0.02133285]",0.756204605586936
